,0,1
0,param_clf__C,"[1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 5.0 5.0 5.0 5.0 5.0 5.0
 5.0 5.0 5.0 5.0 5.0 5.0 10.0 10.0 10.0 10.0 10.0 10.0 10.0 10.0 10.0 10.0
 10.0 10.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0 50.0
 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0
 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0 200.0
 300.0 300.0 300.0 300.0 300.0 300.0 300.0 300.0 300.0 300.0 300.0 300.0
 500.0 500.0 500.0 500.0 500.0 500.0 500.0 500.0 500.0 500.0 500.0 500.0
 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0 1000.0
 1000.0 1000.0]"
1,mean_train_score,"[0.19751349 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349
 0.19751349 0.19751349 0.91636627 0.91636627 0.91636627 0.91636627
 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349
 0.19751349 0.19751349 0.99299106 0.99299106 0.99299106 0.99299106
 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349
 0.19751349 0.19751349 0.99325988 0.99325988 0.99325988 0.99325988
 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349
 0.19751349 0.19751349 0.99373355 0.99373355 0.99373355 0.99373355
 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349
 0.19751349 0.19751349 0.99378094 0.99378094 0.99378094 0.99378094
 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349
 0.19751349 0.19751349 0.99395462 0.99395462 0.99395462 0.99395462
 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349
 0.19751349 0.19751349 0.99399089 0.99399089 0.99399089 0.99399089
 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349
 0.19751349 0.19751349 0.99399113 0.99399113 0.99399113 0.99399113
 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349 0.19751349
 0.19751349 0.19751349 0.99404068 0.99404068 0.99404068 0.99404068]"
2,split0_test_score,"[0.19747875 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875
 0.19747875 0.19747875 0.53199942 0.53199942 0.53199942 0.53199942
 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875
 0.19747875 0.19747875 0.52110096 0.52110096 0.52110096 0.52110096
 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875
 0.19747875 0.19747875 0.52082243 0.52082243 0.52082243 0.52082243
 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875
 0.19747875 0.19747875 0.52294971 0.52294971 0.52294971 0.52294971
 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875
 0.19747875 0.19747875 0.52041464 0.52041464 0.52041464 0.52041464
 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875
 0.19747875 0.19747875 0.5198143  0.5198143  0.5198143  0.5198143
 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875
 0.19747875 0.19747875 0.51838137 0.51838137 0.51838137 0.51838137
 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875
 0.19747875 0.19747875 0.51957568 0.51957568 0.51957568 0.51957568
 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875 0.19747875
 0.19747875 0.19747875 0.51957568 0.51957568 0.51957568 0.51957568]"
3,rank_test_score,"[37 37 37 37 37 37 37 37  1  1  1  1 37 37 37 37 37 37 37 37 13 13 13 13
 37 37 37 37 37 37 37 37  9  9  9  9 37 37 37 37 37 37 37 37  5  5  5  5
 37 37 37 37 37 37 37 37 17 17 17 17 37 37 37 37 37 37 37 37 21 21 21 21
 37 37 37 37 37 37 37 37 33 33 33 33 37 37 37 37 37 37 37 37 25 25 25 25
 37 37 37 37 37 37 37 37 29 29 29 29]"
4,std_fit_time,"[ 0.62207552  0.56894571  1.32508917  0.61776851  1.52292174  1.27948395
  1.24590381  0.74531448  0.3649345   0.43181169  1.10402706  0.48633603
  1.26257724  0.30920646  0.16495712  0.61605311  1.31477581  2.26807231
  1.73457122  0.24155992  8.02842916  8.34637143  6.85970293  9.11732343
  0.56699633  0.78517687  0.9023286   0.96816344  2.92794625  0.88964767
  0.97608974  4.20596848  0.94745165  0.43295676  2.42574785  1.32797787
  1.95859514  1.43769877  2.70890495  2.22673611  4.30885271  0.50711068
  0.7659201   1.44307589  8.84587779  8.66155917  9.16916709  7.17771686
  4.61701635  0.12607814  0.64576016  3.10109114  2.83339707  1.16549924
  1.33297647  2.97575884  8.50802778  8.11512238  8.14960409 10.09385958
  1.27610559  1.94410824  2.29612573  2.40175565  0.43364068  1.01427489
  1.06531179  1.86035189 10.01381289 10.61669079 10.21256726  5.052646
  2.23932792  0.84274607  1.20650282  1.29126575  1.63321765  1.6790182
  1.25851544  4.11839002  8.86705136  9.55102064  8.01711975  9.51179139
  2.86559376  1.98558505  2.23077341  2.07429205  0.25840952  0.7368911
  0.75703551  2.3463196   9.51288175  8.85585366  6.210472   10.00286175
  0.68606296  0.6258487   1.57198488  1.69515439  1.19714543  0.73181239
  1.01693521  1.2010983  13.37953288  2.2908337  16.51592469 11.40463764]"
5,params,"({'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 1.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 1.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 1.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 1.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 1.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 1.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 1.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 1.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 1.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 1.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 1.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 1.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 5.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 5.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 5.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 5.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 5.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 5.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 5.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 5.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 5.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 5.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 5.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 5.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 10.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 10.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 10.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 10.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 10.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 10.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 10.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 10.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 10.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 10.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 10.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 10.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 50.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 50.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 50.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 50.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 50.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 50.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 50.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 50.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 50.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 50.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 50.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 50.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 100.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 100.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 100.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 100.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 100.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 100.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 100.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 100.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 100.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 100.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 100.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 100.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 200.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 200.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 200.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 200.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 200.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 200.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 200.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 200.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 200.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 200.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 200.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 200.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 300.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 300.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 300.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 300.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 300.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 300.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 300.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 300.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 300.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 300.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 300.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 300.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 500.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 500.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 500.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 500.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 500.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 500.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 500.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 500.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 500.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 500.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 500.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 500.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 1000.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'rbf', 'clf__C': 1000.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 1000.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'rbf', 'clf__C': 1000.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 1000.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'poly', 'clf__C': 1000.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 1000.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'poly', 'clf__C': 1000.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 1000.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': None, 'clf__kernel': 'linear', 'clf__C': 1000.0, 'tfidf__sublinear_tf': False}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 1000.0, 'tfidf__sublinear_tf': True}, {'tfidf__stop_words': 'english', 'clf__kernel': 'linear', 'clf__C': 1000.0, 'tfidf__sublinear_tf': False})"
